# C,gamma,kernel,score_train,score
10,scale,rbf,0.991902834,0.833333333
10,0.1,rbf,1,0.827956989
100,0.1,rbf,1,0.827956989
1000,0.1,rbf,1,0.827956989
100,scale,rbf,1,0.822580645
1000,scale,rbf,1,0.822580645
10,0.01,rbf,0.908232119,0.801075269
100,0.01,rbf,0.998650472,0.774193548
1000,0.01,rbf,1,0.774193548
1,scale,rbf,0.882591093,0.768817204
1,0.1,rbf,0.954116059,0.752688172
100,0.001,rbf,0.87854251,0.752688172
0.1,0.0001,linear,0.835357625,0.741935484
0.1,0.001,linear,0.835357625,0.741935484
0.1,0.01,linear,0.835357625,0.741935484
0.1,0.1,linear,0.835357625,0.741935484
0.1,1,linear,0.835357625,0.741935484
0.1,scale,linear,0.835357625,0.741935484
1000,0.0001,rbf,0.873144399,0.741935484
1000,0.001,rbf,0.975708502,0.741935484
1,0.0001,linear,0.940620783,0.704301075
1,0.001,linear,0.940620783,0.704301075
1,0.01,linear,0.940620783,0.704301075
1,0.1,linear,0.940620783,0.704301075
1,1,linear,0.940620783,0.704301075
1,scale,linear,0.940620783,0.704301075
100,0.0001,rbf,0.739541161,0.688172043
10,0.001,rbf,0.744939271,0.682795699
1,0.01,rbf,0.754385965,0.661290323
0.01,0.0001,linear,0.715249663,0.655913978
0.01,0.001,linear,0.715249663,0.655913978
0.01,0.01,linear,0.715249663,0.655913978
0.01,0.1,linear,0.715249663,0.655913978
0.01,1,linear,0.715249663,0.655913978
0.01,scale,linear,0.715249663,0.655913978
10,0.0001,linear,1,0.650537634
10,0.001,linear,1,0.650537634
10,0.01,linear,1,0.650537634
10,0.1,linear,1,0.650537634
10,1,linear,1,0.650537634
10,scale,linear,1,0.650537634
100,0.0001,linear,1,0.64516129
100,0.001,linear,1,0.64516129
100,0.01,linear,1,0.64516129
100,0.1,linear,1,0.64516129
100,1,linear,1,0.64516129
100,scale,linear,1,0.64516129
1000,0.0001,linear,1,0.64516129
1000,0.001,linear,1,0.64516129
1000,0.01,linear,1,0.64516129
1000,0.1,linear,1,0.64516129
1000,1,linear,1,0.64516129
1000,scale,linear,1,0.64516129
0.1,0.1,rbf,0.678812416,0.634408602
0.1,scale,rbf,0.643724696,0.591397849
1,1,rbf,1,0.580645161
10,1,rbf,1,0.580645161
100,1,rbf,1,0.580645161
1000,1,rbf,1,0.580645161
0.01,0.0001,rbf,0.545209177,0.569892473
0.01,0.001,rbf,0.545209177,0.569892473
0.01,0.01,rbf,0.545209177,0.569892473
0.01,0.1,rbf,0.545209177,0.569892473
0.01,1,rbf,0.545209177,0.569892473
0.01,scale,rbf,0.545209177,0.569892473
0.1,0.0001,rbf,0.545209177,0.569892473
0.1,0.001,rbf,0.545209177,0.569892473
0.1,1,rbf,0.545209177,0.569892473
0.1,0.01,rbf,0.616734143,0.564516129
1,0.001,rbf,0.605937922,0.559139785
10,0.0001,rbf,0.600539811,0.559139785
1,0.0001,rbf,0.454790823,0.430107527
